Name,Country,City,Date In,Date Out,Duration,Price,Avg Price,Company,Include,IncludePrice,Longitude,Latitude,Unnamed: 13,Unnamed: 14
The Reach Hotel,India,Ernakulam,1/25/2023,1/26/2023,1.0,$16.00 ,$16.00 ,Booking,Yes,Yes,11.8763836,75.3737973,,
Petit Coin,India,Kannur,1/27/2023,1/30/2023,3.0,45,$15.00 ,Booking,Yes,Yes,11.87537909,75.3710642,,
Bunked,India,Anjuna,1/31/2023,2/15/2023,15.0,0,,Workaway,Yes,No,15.012796,74.0219498,,
Tropical Bay Beach,India,Palolem,2/15/2023,2/17/2023,2.0,32,$16.00 ,Booking,Yes,Yes,15.272923,73.9583159,,
Seashell,India,Margao,2/17/2023,2/19/2023,2.0,$21.00 ,$10.50 ,Booking,Yes,Yes,15.398403,73.8129178,,
Cinco Filhas,India,Vasco da Gama,2/19/2023,2/20/2023,1.0,$19.00 ,$19.00 ,Booking,Yes,Yes,15.37019798,73.83428987,,
O Holy Cross Home Stays,India,Panaji,2/20/2023,2/22/2023,2.0,$28.00 ,$14.00 ,Booking,Yes,Yes,15.47590562,73.84421273,,
Sunya Wellness,India,Arambol,2/22/2023,2/25/2023,3.0,$52.59 ,$17.53 ,Airbnb,Yes,Yes,19.0785451,72.878176,,
CoHostel Mumbay,India,Mumbai,2/26/2022,2/28/2022,2.0,$40.00 ,$20.00 ,Self,Yes,Yes,19.0785451,72.878176,,
Hotel Regal Plaza,India,Mumbai,2/28/2023,3/1/2023,1.0,$18.00 ,$18.00 ,Booking,Yes,Yes,24.578721,73.6862571,,
Black Pepper Home Stay,India,Udaipur,3/6/2023,3/10/2023,4.0,37,$9.25 ,Agoda,Yes,Yes,26.4876472,74.5578484,,
Hotel Everest,India,Pushkar,3/10/2023,3/13/2023,3.0,$25.00 ,$8.33 ,Booking,Yes,Yes,26.9154576,75.8189817,,
Pink City Hostel,India,Jaipur,3/13/2023,3/17/2023,4.0,$22.00 ,$5.50 ,Booking,Yes,Yes,27.1752554,78.0098161,,
Sai Palace,India,Agra,3/17/2023,3/20/2023,3.0,$24.00 ,$8.00 ,Booking,Yes,Yes,30.1086537,78.2916193,,
Triple One Hostel,India,Rishikesh,3/21/2023,3/27/2023,6.0,$63.00 ,$10.50 ,Booking,Yes,Yes,30.1086537,78.2916193,,
Swami Rama Ashram,India,Rishikesh,3/27/2023,3/30/2023,3.0,,,,Yes,Yes,30.1086537,78.2916193,,
Tourist Rest House,India,Rishikesh,3/30/2023,4/3/2023,4.0,$25.00 ,$6.25 ,Booking,Yes,Yes,32.2143039,76.3196717,,
Avoca,India,Dharamshala,4/4/2023,4/6/2023,2.0,$17.00 ,$8.50 ,Booking,Yes,Yes,32.7287809,75.9909864,,
Triund Camp,India,Triund,4/6/2023,4/7/2023,1.0,$25.00 ,$25.00 ,Self,Yes,Yes,32.2143039,76.3196717,,
Triund View Homestay,India,Dharamshala,4/7/2023,4/9/2023,2.0,$24.00 ,$12.00 ,Booking,Yes,Yes,32.2143039,76.3196717,,
Madpackers McLeodGanj,India,Dharamshala,4/9/2023,4/12/2023,3.0,$35.00 ,$11.67 ,Booking,Yes,Yes,18.833333,75.75,,
Sparrow House,India,Bir,4/12/2023,4/16/2023,4.0,$39.00 ,$9.75 ,Booking,Yes,Yes,31.1041526,77.1709729,,
Shimla Vibes,India,Shimla,4/16/2023,4/17/2023,1.0,$9.00 ,$9.00 ,Booking,Yes,Yes,18.958711,83.6444689,,
Himalayan Orchard,India,Rukhla,4/17/2023,4/27/2023,10.0,$0.00 ,$0.00 ,Workaway,Yes,No,31.15372905,77.52481618,,
